dir,packet,len
tx,f016000300010000000100094902000000000000000000000059,26
rx,f018000300010000000100094902000000000000000000000002005b,28
tx,f018000500010000000100094902000000000000000000000003005e,28
rx,f01600050001000000010009490200000000000000000000005b,26
tx,f0170005000100000001000949010000000000000000000000015b,27
rx,f01600050001000000010009490100000000000000000000005a,26
tx,f0170005000100000001000949010000000000000000000000005a,27
rx,f01600050001000000010009490100000000000000000000005a,26
tx,f018000500010000000100094902000000000000000000000002005d,28
rx,f01600050001000000010009490200000000000000000000005b,26
